val_loss,step,epoch,train_loss
0.6927490234375,3,0,
,3,0,0.69659423828125
0.706695556640625,7,1,
,7,1,0.6928253173828125
0.70416259765625,11,2,
,11,2,0.6847991943359375
0.701568603515625,15,3,
,15,3,0.6783599853515625
0.697174072265625,19,4,
,19,4,0.656463623046875
0.694427490234375,23,5,
,23,5,0.646392822265625
