val_loss,epoch,step,train_loss
0.9950236678123474,0,5,
,0,5,0.9985830187797546
0.9770846366882324,1,11,
,1,11,0.9893481135368347
0.9399086236953735,2,17,
,2,17,0.9347043037414551
0.8739885091781616,3,23,
,3,23,0.8806167244911194
0.7933945655822754,4,29,
,4,29,0.775259256362915
0.6976669430732727,5,35,
,5,35,0.6811995506286621
0.6140072345733643,6,41,
,6,41,0.5794839262962341
0.5728257298469543,7,47,
,7,47,0.48499050736427307
0.5384215116500854,8,53,
,8,53,0.41233983635902405
0.5291290879249573,9,59,
,9,59,0.36965081095695496
0.5214105844497681,10,65,
,10,65,0.32132962346076965
0.5130947828292847,11,71,
,11,71,0.30512550473213196
0.545038640499115,12,77,
,12,77,0.27932050824165344
0.5506393313407898,13,83,
,13,83,0.2617327868938446
0.5497301816940308,14,89,
,14,89,0.2543424367904663
0.5357010364532471,15,95,
,15,95,0.24120421707630157
0.5092813968658447,16,101,
,16,101,0.22948884963989258
0.5090303421020508,17,107,
,17,107,0.2318813055753708
0.4785180687904358,18,113,
,18,113,0.2241116762161255
0.5010346174240112,19,119,
,19,119,0.20554792881011963
0.5243883728981018,20,125,
,20,125,0.20153146982192993
0.4971473515033722,21,131,
,21,131,0.22403110563755035
0.5584385395050049,22,137,
,22,137,0.1973220258951187
0.5074647665023804,23,143,
,23,143,0.18154369294643402
